source	target	weight
EZH2	CD4	481
EZH2	SNAI2	843
EZH2	TBX21	570
EZH2	SIRT1	942
EZH2	MMP2	443
EZH2	RELB	801
EZH2	TGFB1	451
EZH2	NFKB1	695
EZH2	CCND1	623
EZH2	GLI1	449
EZH2	CDKN1B	609
EZH2	IFNG	523
EZH2	NANOG	639
EZH2	EGR1	798
EZH2	FLT3	631
EZH2	TWIST1	773
EZH2	SNAI1	998
EZH2	SOX9	435
EZH2	PXDN	487
EZH2	H3-3B	990
EZH2	KRAS	673
EZH2	CCNB1	595
EZH2	NOTCH2	468
EZH2	PDGFRA	517
EZH2	CDK4	639
EZH2	MDM2	945
EZH2	POU5F1	736
EZH2	CCND2	472
EZH2	CDH1	666
EZH2	SMAD2	566
EZH2	CREBBP	818
EZH2	MAPK3	466
EZH2	EP300	963
EZH2	IL1A	432
EZH2	IL1B	523
EZH2	EPCAM	427
EZH2	IL7	550
EZH2	KDR	415
EZH2	PIK3CA	523
EZH2	STAT3	973
EZH2	LEF1	419
EZH2	EGF	472
EZH2	CDK6	686
EZH2	CDK2	702
EZH2	CDH2	535
EZH2	TP53	899
EZH2	ERBB2	571
EZH2	RPS27A	562
EZH2	EGFR	741
EZH2	ATM	589
EZH2	MYCN	952
EZH2	CSF1R	400
EZH2	PPARG	778
EZH2	KIT	590
EZH2	STAT5B	901
EZH2	ANXA5	505
EZH2	NPM1	661
EZH2	SHH	453
EZH2	RUNX1	703
EZH2	AXL	421
EZH2	MAP2K1	411
EZH2	CEBPB	565
EZH2	FOS	567
EZH2	TERT	555
EZH2	CD34	491
EZH2	CASP3	519
EZH2	HNF4A	555
EZH2	MET	472
EZH2	STAT5A	896
EZH2	PARP1	592
EZH2	RUNX2	642
EZH2	MYC	984
EZH2	INS	413
EZH2	BCL2	614
EZH2	ACTB	702
EZH2	GAPDH	655
EZH2	IGF1R	505
EZH2	HRAS	536
EZH2	PROM1	489
EZH2	UBA52	531
EZH2	BRCA1	926
EZH2	CTLA4	442
EZH2	ESR1	915
EZH2	JAK2	768
EZH2	STAT1	415
EZH2	TRAF6	468
EZH2	CDKN1A	739
EZH2	MCL1	488
EZH2	AR	978
EZH2	CALR	549
EZH2	BCL2L1	426
EZH2	TNF	489
EZH2	CXCR4	414
EZH2	CD44	494
EZH2	FGFR1	480
EZH2	BDNF	577
EZH2	HSP90AB1	607
EZH2	H3C12	985
EZH2	JUN	852
EZH2	SMAD4	621
EZH2	H3C13	998
EZH2	SRC	469
EZH2	GSK3B	485
EZH2	RELA	915
EZH2	PXDNL	484
EZH2	LOC102723407	449
EZH2	FGFR3	473
EZH2	IL6	666
EZH2	IGF2	450
EZH2	DNMT1	999
EZH2	CREB1	414
EZH2	FOXO1	508
EZH2	SMAD3	631
EZH2	CEBPA	578
EZH2	ALK	496
EZH2	PAX6	690
EZH2	FN1	410
EZH2	H3-4	989
EZH2	HSP90AA1	714
EZH2	HDAC1	999
EZH2	H3-7	972
EZH2	HIF1A	715
EZH2	IRF4	503
EZH2	PGR	432
EZH2	GATA3	672
EZH2	FOXP3	931
EZH2	CSF3R	483
EZH2	NF1	582
EZH2	FOXO3	450
EZH2	NRAS	811
EZH2	PRDM1	769
EZH2	BCL2L11	441
EZH2	CD8A	483
EZH2	SOX2	770
EZH2	PTEN	760
EZH2	ERBB4	412
EZH2	BCL6	795
EZH2	CD274	552
EZH2	MTOR	494
EZH2	CDK1	965
EZH2	GATA4	748
EZH2	BRAF	622
EZH2	DKK1	403
EZH2	MMP9	673
EZH2	PTPN11	580
EZH2	BMI1	999
EZH2	AKT1	867
EZH2	RUNX3	627
EZH2	KLF4	715
EZH2	NES	400
EZH2	FGFR2	453
EZH2	PTPRC	419
EZH2	JAK1	486
EZH2	ABL1	606
EZH2	VAV1	978
EZH2	WT1	824
EZH2	UBC	558
EZH2	JAK3	548
EZH2	SOCS1	427
EZH2	TNFAIP3	576
EZH2	NOTCH1	655
EZH2	CDKN2A	813
EZH2	H3-5	972
EZH2	E2F1	916
EZH2	CCK	532
EZH2	CTNNB1	986
CCN2	SNAI2	525
CCN2	FGF4	585
CCN2	FGF20	602
CCN2	SIRT1	425
CCN2	FGF22	597
CCN2	HMOX1	431
CCN2	NFKBIA	411
CCN2	TIMP1	816
CCN2	MMP2	839
CCN2	TGFB1	969
CCN2	HGF	593
CCN2	SERPINE1	819
CCN2	CCL2	678
CCN2	COL1A1	876
CCN2	VTN	405
CCN2	NFKB1	457
CCN2	CCND1	598
CCN2	FGF6	588
CCN2	IFNG	655
CCN2	HBEGF	525
CCN2	LOX	763
CCN2	IL4	625
CCN2	TGFB3	772
CCN2	EGR1	713
CCN2	TWIST1	452
CCN2	SNAI1	581
CCN2	BMP4	711
CCN2	SOX9	516
CCN2	CD68	502
CCN2	PXDN	675
CCN2	LGALS3	653
CCN2	JAG1	469
CCN2	PDGFRA	431
CCN2	MMP7	448
CCN2	THBS1	749
CCN2	ITGAV	423
CCN2	VWF	884
CCN2	CDH1	608
CCN2	PDGFRB	671
CCN2	SMAD2	845
CCN2	MAPK3	572
CCN2	EP300	462
CCN2	IL1A	520
CCN2	IL1B	655
CCN2	KDR	460
CCN2	FGF2	800
CCN2	IL11	520
CCN2	WNT5A	421
CCN2	STAT3	535
CCN2	FGF10	605
CCN2	ICAM1	553
CCN2	EGF	755
CCN2	ERBB3	516
CCN2	FGF7	619
CCN2	CDH2	524
CCN2	TP53	555
CCN2	ERBB2	401
CCN2	FGF18	601
CCN2	EGFR	799
CCN2	THY1	646
CCN2	WNT3A	411
CCN2	PPARG	575
CCN2	WNT4	484
CCN2	ACE	534
CCN2	WNT1	447
CCN2	VCAM1	685
CCN2	ALB	584
CCN2	SHH	409
CCN2	MMP3	834
CCN2	AXL	542
CCN2	IL13	450
CCN2	FOS	720
CCN2	CXCL8	535
CCN2	PLG	511
CCN2	CD34	416
CCN2	CASP3	496
CCN2	FGF5	591
CCN2	ANGPT2	516
CCN2	FGF8	584
CCN2	MMP1	570
CCN2	SOX2	531
CCN2	GSK3B	446
CCN2	PDGFB	535
CCN2	SMAD3	751
CCN2	FGF3	587
CCN2	CAV1	542
CCN2	PTK2	442
CCN2	SMAD4	618
CCN2	ESR2	463
CCN2	PDGFA	520
CCN2	FN1	963
CCN2	TJP1	424
CCN2	PXDNL	587
CCN2	TGFBR2	748
CCN2	CD163	543
CCN2	FGF17	588
CCN2	MTOR	456
CCN2	AGT	740
CCN2	TGFB2	725
CCN2	PTGS2	691
CCN2	IFNGR1	446
CCN2	BCL6	448
CCN2	RHOA	590
CCN2	FGF9	606
CCN2	PTEN	455
CCN2	CXCL1	438
CCN2	BMP2	849
CCN2	BCL2L11	445
CCN2	ITGB1	794
CCN2	VEGFC	659
CCN2	FGF13	519
CCN2	ENG	433
CCN2	RUNX3	577
CCN2	AKT1	802
CCN2	DKK1	473
CCN2	MMP9	809
CCN2	CXCL12	576
CCN2	PLAU	480
CCN2	IL10	478
CCN2	CYBB	463
CCN2	TGFBR1	775
CCN2	TLR4	453
CCN2	FGFR2	638
CCN2	ANGPT1	447
CCN2	ACE2	418
CCN2	CTNNB1	635
CCN2	CCK	428
CCN2	NTRK1	945
CCN2	TGFA	452
CCN2	CDH5	443
CCN2	NOTCH1	598
CCN2	FGF16	603
CCN2	IGF1	830
CCN2	GAPDH	684
CCN2	CD9	705
CCN2	ACTB	715
CCN2	VIM	653
CCN2	INS	562
CCN2	PECAM1	547
CCN2	BCL2	482
CCN2	RUNX2	503
CCN2	MYC	742
CCN2	ITGA4	494
CCN2	FGFR1	520
CCN2	TNF	740
CCN2	CD44	683
CCN2	CXCR4	669
CCN2	CDKN1A	645
CCN2	PPARA	400
CCN2	FGF1	501
CCN2	ESR1	690
CCN2	NGF	423
CCN2	IGF2	468
CCN2	IL6	771
CCN2	AREG	598
CCN2	EDN1	787
CCN2	ITGB2	596
CCN2	SRC	527
CCN2	JUN	828
CCN2	SPP1	605
CCN2	ITGAM	614
CCN2	HIF1A	748
PXDNL	CD4	743
PXDNL	SNAI2	600
PXDNL	CDH17	532
PXDNL	TNFRSF1A	433
PXDNL	FGF4	551
PXDNL	NGFR	427
PXDNL	FGF20	504
PXDNL	SIRT1	639
PXDNL	FGF22	515
PXDNL	MAPK1	717
PXDNL	HMOX1	696
PXDNL	GZMB	423
PXDNL	NFKBIA	734
PXDNL	TIMP1	526
PXDNL	MMP2	647
PXDNL	RELB	440
PXDNL	TGFB1	724
PXDNL	HGF	520
PXDNL	SERPINE1	520
PXDNL	CSF3	436
PXDNL	RPS6KB1	680
PXDNL	CCL2	650
PXDNL	COL1A1	550
PXDNL	VTN	456
PXDNL	CD38	411
PXDNL	NFKB1	625
PXDNL	IL2	634
PXDNL	CCND1	761
PXDNL	CD69	420
PXDNL	GLI1	433
PXDNL	FGF6	529
PXDNL	CDKN1B	465
PXDNL	IFNG	782
PXDNL	NANOG	557
PXDNL	MAPK14	476
PXDNL	LOX	564
PXDNL	IL4	671
PXDNL	IL5	551
PXDNL	NR3C1	428
PXDNL	TGFB3	412
PXDNL	EGR1	462
PXDNL	TWIST1	472
PXDNL	SNAI1	624
PXDNL	BMP4	450
PXDNL	SOX9	527
PXDNL	LIF	407
PXDNL	CD68	793
PXDNL	APOE	608
PXDNL	EPO	452
PXDNL	PXDN	981
PXDNL	GFAP	809
PXDNL	LGALS3	542
PXDNL	H3-3B	717
PXDNL	JAG1	424
PXDNL	CRP	551
PXDNL	KRAS	562
PXDNL	CCNB1	615
PXDNL	PDGFRA	446
PXDNL	NT5E	487
PXDNL	CDK4	629
PXDNL	MDM2	593
PXDNL	POU5F1	574
PXDNL	MMP7	469
PXDNL	CCND2	443
PXDNL	VWF	639
PXDNL	SCARB1	526
PXDNL	CDH1	789
PXDNL	PDGFRB	524
PXDNL	SMAD2	676
PXDNL	AXIN1	401
PXDNL	MAPK3	847
PXDNL	IL1A	606
PXDNL	IL1B	812
PXDNL	CD81	556
PXDNL	SELP	417
PXDNL	EPAS1	497
PXDNL	EPCAM	491
PXDNL	PIK3CA	479
PXDNL	CD80	490
PXDNL	FGF2	695
PXDNL	WNT5A	400
PXDNL	STAT3	824
PXDNL	FGF10	554
PXDNL	ICAM1	633
PXDNL	PPARGC1A	615
PXDNL	SCARB2	485
PXDNL	LEF1	401
PXDNL	EGF	831
PXDNL	CDK6	541
PXDNL	CDK2	620
PXDNL	ERBB3	484
PXDNL	FGF7	554
PXDNL	CDH2	707
PXDNL	TP53	821
PXDNL	ERBB2	691
PXDNL	FCGR2A	470
PXDNL	FGF18	529
PXDNL	EGFR	743
PXDNL	IFNA1	515
PXDNL	ATM	577
PXDNL	IL18	507
PXDNL	MYCN	421
PXDNL	THY1	587
PXDNL	WNT3A	465
PXDNL	APP	658
PXDNL	PPARG	661
PXDNL	KIT	613
PXDNL	ACE	540
PXDNL	CALM3	586
PXDNL	CCR5	423
PXDNL	STAT5B	461
PXDNL	WNT1	410
PXDNL	REL	495
PXDNL	ALB	937
PXDNL	ANXA5	888
PXDNL	IL3	460
PXDNL	CSF2	619
PXDNL	SHH	481
PXDNL	NOS3	614
PXDNL	MMP3	531
PXDNL	ANPEP	408
PXDNL	STAT6	437
PXDNL	MAP2K1	609
PXDNL	HSPA4	663
PXDNL	CALML6	548
PXDNL	IRS1	552
PXDNL	IL13	556
PXDNL	CEBPB	457
PXDNL	CXCL10	512
PXDNL	FOS	739
PXDNL	CXCL8	601
PXDNL	EIF2AK3	706
PXDNL	CYCS	888
PXDNL	PLG	471
PXDNL	TERT	455
PXDNL	PRKACA	572
PXDNL	CD34	693
PXDNL	CASP3	918
PXDNL	FGF5	529
PXDNL	AOC3	479
PXDNL	LEP	742
PXDNL	HNF4A	479
PXDNL	CD19	610
PXDNL	CALML3	560
PXDNL	MET	481
PXDNL	CALR	512
PXDNL	FGF8	551
PXDNL	MMP1	466
PXDNL	SOX2	584
PXDNL	HSPA5	659
PXDNL	GSK3B	680
PXDNL	CD28	470
PXDNL	PGR	626
PXDNL	NOS2	525
PXDNL	CSF1	508
PXDNL	CASP9	759
PXDNL	SOCS3	452
PXDNL	SELE	436
PXDNL	CD86	559
PXDNL	SMAD3	634
PXDNL	H3C13	738
PXDNL	LAMP1	623
PXDNL	FGF3	529
PXDNL	HSP90AA1	615
PXDNL	NLRP3	447
PXDNL	CAV1	578
PXDNL	FOXO3	554
PXDNL	H3-5	718
PXDNL	PTK2	555
PXDNL	STAT5A	489
PXDNL	SMAD4	555
PXDNL	ERBB4	441
PXDNL	CD5	419
PXDNL	ESR2	554
PXDNL	HMGB1	543
PXDNL	E2F1	518
PXDNL	FYN	420
PXDNL	FN1	732
PXDNL	TJP1	636
PXDNL	IL17A	616
PXDNL	BDNF	766
PXDNL	HSP90AB1	615
PXDNL	H3C12	718
PXDNL	JUN	735
PXDNL	NFE2L2	618
PXDNL	SPP1	603
PXDNL	PRKACB	554
PXDNL	RELA	525
PXDNL	EDN1	504
PXDNL	SRC	675
PXDNL	ADIPOQ	545
PXDNL	ARG1	524
PXDNL	IL6	821
PXDNL	MME	462
PXDNL	KEAP1	558
PXDNL	SQSTM1	611
PXDNL	NGF	683
PXDNL	IGF2	436
PXDNL	DNMT1	486
PXDNL	KITLG	438
PXDNL	FOXO1	565
PXDNL	CASP8	703
PXDNL	CREB1	662
PXDNL	ALK	426
PXDNL	PAX6	403
PXDNL	HDAC1	547
PXDNL	H3-4	718
PXDNL	ERVFRD-1	508
PXDNL	CEBPA	450
PXDNL	ERV3-1	508
PXDNL	H3-7	738
PXDNL	HIF1A	737
PXDNL	ITGAM	634
PXDNL	TEK	400
PXDNL	FOXP3	619
PXDNL	CCL3	430
PXDNL	SELL	426
PXDNL	PARP1	732
PXDNL	XIAP	579
PXDNL	RUNX2	645
PXDNL	MYC	784
PXDNL	CASP1	627
PXDNL	AGT	609
PXDNL	VIM	483
PXDNL	GRB2	410
PXDNL	INS	817
PXDNL	PECAM1	741
PXDNL	BCL2	844
PXDNL	GAPDH	924
PXDNL	CD9	603
PXDNL	ACTB	924
PXDNL	BECN1	734
PXDNL	AIF1	738
PXDNL	PROM1	554
PXDNL	FGF16	510
PXDNL	IGF1R	556
PXDNL	IGF1	635
PXDNL	HRAS	423
PXDNL	SYK	402
PXDNL	PPARA	568
PXDNL	CALML4	573
PXDNL	IKBKB	551
PXDNL	CTLA4	425
PXDNL	BRCA1	520
PXDNL	FGF1	423
PXDNL	ESR1	708
PXDNL	CDKN1A	590
PXDNL	MCL1	614
PXDNL	JAK2	553
PXDNL	STAT1	613
PXDNL	TRAF6	487
PXDNL	BCL2L1	684
PXDNL	AR	606
PXDNL	CTSS	438
PXDNL	CHUK	570
PXDNL	TNF	800
PXDNL	CD40LG	421
PXDNL	CXCR4	569
PXDNL	NFATC1	487
PXDNL	CD44	690
PXDNL	KLF4	465
PXDNL	NES	624
PXDNL	CD24	487
PXDNL	ITGAX	582
PXDNL	WT1	478
PXDNL	ABL1	434
PXDNL	PTPRC	712
PXDNL	JAK1	456
PXDNL	CD36	534
PXDNL	MAPK8	588
PXDNL	TGFB2	431
PXDNL	CYBB	617
PXDNL	MRC1	511
PXDNL	TGFBR1	464
PXDNL	IRF3	496
PXDNL	GPT	621
PXDNL	CDKN2A	587
PXDNL	CALML5	560
PXDNL	NOTCH1	529
PXDNL	CDH5	502
PXDNL	PRKCA	472
PXDNL	TGFBR2	435
PXDNL	FASLG	560
PXDNL	CCK	856
PXDNL	TGFA	425
PXDNL	CTNNB1	774
PXDNL	ACE2	512
PXDNL	CD40	451
PXDNL	PRKACG	554
PXDNL	VEGFC	438
PXDNL	SDC1	492
PXDNL	FGF13	521
PXDNL	FGF17	529
PXDNL	BMP2	488
PXDNL	ERVW-1	543
PXDNL	CD8A	697
PXDNL	HSPA8	526
PXDNL	ITGB1	555
PXDNL	BCL2L11	543
PXDNL	DNTT	786
PXDNL	PTEN	682
PXDNL	FGF9	534
PXDNL	CD63	642
PXDNL	CXCL1	486
PXDNL	CD163	548
PXDNL	RHOA	615
PXDNL	CDK1	552
PXDNL	B2M	676
PXDNL	ITGB3	446
PXDNL	BRAF	529
PXDNL	IL10	720
PXDNL	MTOR	671
PXDNL	CD274	522
PXDNL	TFRC	608
PXDNL	TNFSF11	552
PXDNL	BMI1	427
PXDNL	AKT1	875
PXDNL	FCGR2B	473
PXDNL	DKK1	425
PXDNL	TLR9	436
PXDNL	PLAU	449
PXDNL	MMP9	755
PXDNL	CXCL12	542
PXDNL	SLC2A1	481
PXDNL	IFNB1	515
PXDNL	FAS	464
PXDNL	ENG	510
NOS3	FGF4	434
NOS3	FGF20	449
NOS3	SIRT1	841
NOS3	FGF22	458
NOS3	HMOX1	770
NOS3	NFKBIA	470
NOS3	TIMP1	415
NOS3	MMP2	531
NOS3	TGFB1	587
NOS3	SERPINE1	610
NOS3	MPO	536
NOS3	CCL2	628
NOS3	NFKB1	528
NOS3	IL2	413
NOS3	FGF6	447
NOS3	IFNG	510
NOS3	LOX	405
NOS3	IL4	415
NOS3	PLCG1	916
NOS3	CD68	400
NOS3	APOE	777
NOS3	EPO	531
NOS3	PXDN	615
NOS3	CRP	615
NOS3	THBS1	442
NOS3	VWF	811
NOS3	SCARB1	509
NOS3	MAPK3	603
NOS3	IL1A	687
NOS3	IL1B	699
NOS3	SELP	602
NOS3	EPAS1	408
NOS3	KDR	716
NOS3	FGF2	557
NOS3	STAT3	489
NOS3	FGF10	456
NOS3	ICAM1	709
NOS3	PPARGC1A	583
NOS3	SCARB2	433
NOS3	EGF	445
NOS3	FGF7	452
NOS3	TP53	506
NOS3	FGF18	448
NOS3	FLT1	603
NOS3	APP	677
NOS3	PPARG	627
NOS3	ACE	731
NOS3	CALM3	999
NOS3	VCAM1	810
NOS3	ALB	624
NOS3	SELE	659
NOS3	IRS1	561
NOS3	ENG	504
NOS3	IL10	701
NOS3	MTOR	677
NOS3	CXCL8	507
NOS3	FGF5	448
NOS3	MMP9	730
NOS3	CXCL12	471
NOS3	FGF8	443
NOS3	AKT1	997
NOS3	ANGPT2	525
NOS3	FOS	432
NOS3	PTEN	422
NOS3	FGF9	447
NOS3	RHOA	581
NOS3	CD34	489
NOS3	FOXO3	413
NOS3	FGF17	447
NOS3	DPP4	435
NOS3	CASP9	417
NOS3	CTNNB1	578
NOS3	CALML3	999
NOS3	LEP	545
NOS3	PRKACG	599
NOS3	CALML6	999
NOS3	ACE2	477
NOS3	CDH5	764
NOS3	CALML5	999
NOS3	GPT	458
NOS3	PLG	475
NOS3	CYBB	702
NOS3	ANGPT1	543
NOS3	PTGS2	642
NOS3	PRKACA	598
NOS3	KLF4	405
NOS3	MAPK8	412
NOS3	TLR4	522
NOS3	CD36	436
NOS3	CXCR4	424
NOS3	TNF	693
NOS3	ESR1	773
NOS3	ESR2	689
NOS3	CALML4	999
NOS3	PPARA	529
NOS3	ACTB	892
NOS3	GAPDH	632
NOS3	CASP3	604
NOS3	HRAS	510
NOS3	IGF1	526
NOS3	FGF16	450
NOS3	AGT	792
NOS3	PECAM1	731
NOS3	BCL2	579
NOS3	INS	732
NOS3	GRB2	526
NOS3	CAV1	999
NOS3	HIF1A	624
NOS3	TEK	684
NOS3	CREB1	412
NOS3	FOXO1	663
NOS3	NOS2	912
NOS3	HSP90AA1	999
NOS3	FN1	519
NOS3	KEAP1	579
NOS3	IL6	718
NOS3	ARG1	959
NOS3	FGF3	454
NOS3	ADIPOQ	606
NOS3	NFE2L2	571
NOS3	CYCS	617
NOS3	JUN	543
NOS3	BDNF	436
NOS3	HSP90AB1	998
NOS3	SRC	586
NOS3	EDN1	884
NOS3	HSPA4	438
NOS3	PRKACB	597
NOS3	GSK3B	491
CASP1	CD4	715
CASP1	TNFRSF1A	740
CASP1	SIRT1	544
CASP1	HMOX1	598
CASP1	GZMB	661
CASP1	NFKBIA	681
CASP1	RELB	412
CASP1	TGFB1	570
CASP1	SERPINE1	672
CASP1	MPO	581
CASP1	CSF3	436
CASP1	CCL2	707
CASP1	VTN	597
CASP1	NFKB1	826
CASP1	IL2	529
CASP1	SPI1	499
CASP1	IL10RA	427
CASP1	IFNG	893
CASP1	MAPK14	562
CASP1	IL4	616
CASP1	IL5	453
CASP1	TNFSF10	651
CASP1	IRF1	784
CASP1	SOX9	438
CASP1	CD68	615
CASP1	APOE	517
CASP1	PXDN	628
CASP1	GFAP	483
CASP1	LGALS3	433
CASP1	CRP	507
CASP1	IL1RN	794
CASP1	TLR2	809
CASP1	CCND2	426
CASP1	SCARB1	489
CASP1	CREBBP	476
CASP1	TYROBP	437
CASP1	MAPK3	690
CASP1	EP300	501
CASP1	IL1A	968
CASP1	IL1B	999
CASP1	SELP	431
CASP1	IL7	420
CASP1	CD80	485
CASP1	FGF2	522
CASP1	STAT3	609
CASP1	ICAM1	650
CASP1	SCARB2	499
CASP1	IRF8	463
CASP1	TP53	876
CASP1	IFNAR1	553
CASP1	FCGR2A	457
CASP1	GZMA	498
CASP1	EGFR	544
CASP1	IFNA1	579
CASP1	IL18	998
CASP1	APP	502
CASP1	CSF1R	435
CASP1	PPARG	518
CASP1	FCER1G	466
CASP1	CCR5	503
CASP1	VCAM1	506
CASP1	ALB	611
CASP1	CCR1	400
CASP1	ANXA5	620
CASP1	IL15	563
CASP1	TLR3	726
CASP1	CSF2	589
CASP1	STAT6	447
CASP1	NOD2	923
CASP1	CLEC7A	616
CASP1	HSPA4	418
CASP1	IL13	547
CASP1	CEBPB	488
CASP1	CXCL10	657
CASP1	FOS	740
CASP1	CXCL8	668
CASP1	CXCL11	412
CASP1	EIF2AK3	451
CASP1	CYCS	780
CASP1	CASP3	709
CASP1	TLR8	643
CASP1	LEP	416
CASP1	CXCR2	448
CASP1	CALR	585
CASP1	HSPA5	473
CASP1	GSK3B	403
CASP1	NOS2	428
CASP1	CSF1	529
CASP1	CASP9	712
CASP1	SOCS3	440
CASP1	SELE	440
CASP1	CD86	586
CASP1	SMAD3	711
CASP1	LAMP1	401
CASP1	HSP90AA1	409
CASP1	NLRP3	999
CASP1	STAT5A	582
CASP1	ESR2	549
CASP1	HMGB1	687
CASP1	FN1	402
CASP1	TJP1	416
CASP1	ARG1	446
CASP1	CCRL2	409
CASP1	CX3CR1	448
CASP1	CASP8	999
CASP1	FCGR2B	401
CASP1	CCL20	433
CASP1	CD163	473
CASP1	TLR9	771
CASP1	STAT1	702
CASP1	MTOR	453
CASP1	CXCL9	674
CASP1	TLR1	726
CASP1	BECN1	613
CASP1	AGT	454
CASP1	PARP1	655
CASP1	PTGS2	631
CASP1	FASLG	597
CASP1	IFNGR1	415
CASP1	CTSS	762
CASP1	MCL1	527
CASP1	FCGR1A	402
CASP1	CHUK	508
CASP1	CD40LG	423
CASP1	DNTT	453
CASP1	XIAP	966
CASP1	ENTPD1	495
CASP1	JUN	592
CASP1	HSP90AB1	408
CASP1	PTEN	594
CASP1	CD40	487
CASP1	MMP9	568
CASP1	PLAU	642
CASP1	SRC	456
CASP1	TLR4	916
CASP1	SYK	791
CASP1	TNFSF13B	506
CASP1	AIF1	670
CASP1	BCL2L1	728
CASP1	FOXP3	438
CASP1	CYBB	651
CASP1	RIGI	895
CASP1	IFNB1	791
CASP1	TLR7	670
CASP1	IL33	987
CASP1	CD274	446
CASP1	JAK2	530
CASP1	SQSTM1	451
CASP1	BCL2L11	423
CASP1	KEAP1	709
CASP1	GPT	425
CASP1	MAPK8	458
CASP1	CXCL1	578
CASP1	IL4R	484
CASP1	CXCL12	406
CASP1	CCK	502
CASP1	GAPDH	688
CASP1	NFE2L2	644
CASP1	INS	532
CASP1	IRF7	592
CASP1	ITGB2	507
CASP1	BCL2	817
CASP1	RELA	452
CASP1	PPARA	406
CASP1	IL6	881
CASP1	IL1R1	876
CASP1	CD8A	644
CASP1	CXCR4	435
CASP1	ACE2	441
CASP1	PRF1	487
CASP1	CD44	456
CASP1	TNF	904
CASP1	PTPRC	614
CASP1	IL10	724
CASP1	BDNF	457
CASP1	CD36	553
CASP1	BRCA1	441
CASP1	CXCL2	457
CASP1	IKBKB	549
CASP1	IDO1	436
CASP1	FAS	838
CASP1	B2M	463
CASP1	AKT1	617
CASP1	TLR5	658
CASP1	IL22	510
CASP1	MRC1	474
CASP1	IRF3	634
CASP1	TNFAIP3	466
CASP1	ITGAX	582
CASP1	JAK1	416
CASP1	BTK	703
CASP1	TRAF6	628
CASP1	ACTB	729
CASP1	SELL	459
CASP1	PECAM1	434
CASP1	HIF1A	506
CASP1	ITGAM	661
CASP1	CCL3	570
CASP1	CCL4	486
CASP1	CD48	416
CASP1	IL12RB1	541
CASP1	IL17A	635
SELP	CX3CL1	453
SELP	CD4	782
SELP	HMOX1	425
SELP	MMP2	447
SELP	TGFB1	657
SELP	SERPINE1	682
SELP	MPO	675
SELP	CSF3	633
SELP	CCL2	710
SELP	VTN	578
SELP	CD38	651
SELP	NFKB1	443
SELP	IL2	530
SELP	CD69	466
SELP	IFNG	645
SELP	IL4	659
SELP	IL5	411
SELP	CCR7	509
SELP	CD68	431
SELP	APOE	593
SELP	PXDN	415
SELP	LGALS3	535
SELP	CRP	738
SELP	CCL21	482
SELP	TLR2	524
SELP	THBS1	666
SELP	ITGAV	617
SELP	VWF	999
SELP	SCARB1	745
SELP	CDH1	577
SELP	ITGA2B	965
SELP	IL1A	622
SELP	IL1B	746
SELP	ENG	456
SELP	SELE	937
SELP	SLC2A1	532
SELP	CD2	413
SELP	AKT1	519
SELP	TLR9	421
SELP	CXCL12	749
SELP	MMP9	601
SELP	PRF1	415
SELP	CD19	433
SELP	ITGB3	928
SELP	CXCL8	898
SELP	IL10	631
SELP	CCR5	545
SELP	CD34	832
SELP	ITGA2	608
SELP	CCL19	463
SELP	CSF2	492
SELP	CD80	436
SELP	CD163	439
SELP	ANGPT2	849
SELP	CD63	907
SELP	CXCL1	659
SELP	CD8A	623
SELP	ITGB1	667
SELP	VCAM1	963
SELP	SDC1	573
SELP	ALB	720
SELP	CD40	985
SELP	ACE2	448
SELP	HLA-A	442
SELP	FGF2	437
SELP	CD47	412
SELP	ITGAL	760
SELP	CCRL2	583
SELP	DPP4	487
SELP	PLG	602
SELP	HMGB1	788
SELP	CCL20	526
SELP	TLR8	406
SELP	CDH5	603
SELP	ANXA5	744
SELP	CYBB	493
SELP	ENTPD1	592
SELP	PTPRC	670
SELP	AOC3	407
SELP	TLR4	885
SELP	CD36	861
SELP	ACE	506
SELP	ITGAX	475
SELP	RAG1	524
SELP	CD24	995
SELP	ANGPT1	459
SELP	PTGS2	417
SELP	CXCL5	428
SELP	TNF	741
SELP	CD44	993
SELP	CXCR4	653
SELP	CD40LG	951
SELP	CX3CR1	464
SELP	CXCR1	601
SELP	CD86	470
SELP	CD209	629
SELP	SYK	545
SELP	MET	466
SELP	SCARB2	746
SELP	IL18	464
SELP	CASP3	439
SELP	CD9	664
SELP	CCR1	570
SELP	ICAM1	932
SELP	INS	497
SELP	CXCR3	638
SELP	PECAM1	908
SELP	SELL	986
SELP	AGT	514
SELP	PF4	921
SELP	ITGA4	694
SELP	IL13	457
SELP	TEK	464
SELP	ITGAM	934
SELP	CCL3	540
SELP	FOXP3	473
SELP	FN1	778
SELP	CXCR2	504
SELP	CCL4	459
SELP	CCR6	506
SELP	FCGR2A	547
SELP	ADIPOQ	433
SELP	IL6	827
SELP	SPN	759
SELP	FCER1G	567
SELP	CXCL9	441
SELP	EGF	662
SELP	CXCL2	404
SELP	EDN1	600
SELP	ITGB2	978
SELP	TLR7	458
SELP	SRC	456
SELP	FUT4	735
SELP	IL17A	534
SELP	KDR	453
SELP	CXCL10	489
CDK6	SNAI2	425
CDK6	TNFRSF1A	412
CDK6	SIRT1	582
CDK6	NFKBIA	462
CDK6	MMP2	435
CDK6	NFKB1	672
CDK6	CCND1	999
CDK6	CDKN1B	999
